SecurityID,TransactTime,OrderNo,Price,Balance,OrderBSFlag,OrdType,OrderIndex,ChannelNo,BizIndex
600000,20230228091503480,46285,7.290,2000,S,A,37642,5,43213
600000,20230228091503480,46343,7.140,2800,B,A,37643,5,43214
600000,20230228091503480,46378,7.240,2800,S,A,37644,5,43215
600000,20230228091503480,46402,7.250,2800,S,A,37645,5,43216
600000,20230228091503480,46497,7.500,400,S,A,37646,5,43217
600000,20230228091503480,46508,7.060,200,B,A,37647,5,43218
600000,20230228091503480,46687,6.650,2000,B,A,37648,5,43219
600000,20230228091503480,47079,7.120,5000,B,A,37649,5,43220
600000,20230228091503480,47080,7.280,5000,S,A,37650,5,43221
600000,20230228091503600,48733,7.240,88800,S,A,37651,5,43222
600000,20230228091503600,48757,7.460,300,S,A,37652,5,43223
600000,20230228091503600,49106,7.140,1000,B,A,37653,5,43224
600000,20230228091503600,49486,7.100,3000,B,A,37654,5,43225
600000,20230228091503600,49487,7.380,500,S,A,37655,5,43226
600000,20230228091503600,49711,7.140,2000,B,A,37656,5,43227
600000,20230228091503600,49712,7.160,2000,B,A,37657,5,43228
600000,20230228091503750,50744,7.410,900,S,A,37658,5,43229
600000,20230228091503750,51282,7.350,200,S,A,37659,5,43230
600000,20230228091503750,51283,7.060,300,B,A,37660,5,43231
600000,20230228091503890,51864,7.110,300,B,A,37661,5,43232
600000,20230228091503890,52444,7.150,2000,B,A,37662,5,43233
600000,20230228091503890,52702,7.150,10000,B,A,37663,5,43234
600000,20230228091503890,53624,7.880,1000,S,A,37664,5,43235
600000,20230228091503890,53694,7.200,200,S,A,37665,5,43236
600000,20230228091504030,54087,7.350,3000,S,A,37666,5,43237
600000,20230228091504030,54147,7.860,5000,S,A,37667,5,43238
600000,20230228091504030,54220,7.870,544,S,A,37668,5,43239
600000,20230228091504070,54668,7.090,500,B,A,37669,5,43240
600000,20230228091504070,29362,7.340,100,B,D,37670,5,43241
600000,20230228091504070,55227,7.250,10200,S,A,37671,5,43242
600000,20230228091504070,55309,7.080,500,B,A,37672,5,43243
600000,20230228091504070,55851,7.390,5800,S,A,37673,5,43244
600000,20230228091504200,56259,7.150,1000,B,A,37674,5,43245
600000,20230228091504200,56411,7.140,1000,B,A,37675,5,43246
600000,20230228091504200,57324,7.520,500,S,A,37676,5,43247
600000,20230228091504200,57325,7.650,500,S,A,37677,5,43248
600000,20230228091504200,57350,7.300,2000,S,A,37678,5,43249
600000,20230228091504200,57374,7.250,500,S,A,37679,5,43250
600000,20230228091504200,57382,7.300,500,S,A,37680,5,43251
600000,20230228091504200,57386,7.350,1000,S,A,37681,5,43252
600000,20230228091504200,57392,7.400,1000,S,A,37682,5,43253
600000,20230228091504200,57394,7.450,1000,S,A,37683,5,43254
600000,20230228091504200,57398,7.500,1000,S,A,37684,5,43255
600000,20230228091504200,57400,7.550,1000,S,A,37685,5,43256
600000,20230228091504200,57402,7.600,1000,S,A,37686,5,43257
600000,20230228091504200,57410,7.650,1000,S,A,37687,5,43258
600000,20230228091504200,57418,7.700,1000,S,A,37688,5,43259
600000,20230228091504200,57424,7.750,1000,S,A,37689,5,43260
600000,20230228091504200,57425,7.800,1000,S,A,37690,5,43261
600000,20230228091504200,57435,7.850,1000,S,A,37691,5,43262
600000,20230228091504200,57567,7.250,1000,S,A,37692,5,43263
600000,20230228091504200,57568,7.300,1000,S,A,37693,5,43264
600000,20230228091504200,57636,7.000,300,B,A,37694,5,43265
600000,20230228091504200,57638,7.880,400,S,A,37695,5,43266
600000,20230228091504340,58713,7.100,6000,B,A,37696,5,43267
600000,20230228091504340,58812,7.150,2200,B,A,37697,5,43268
600000,20230228091504340,58830,7.100,1000,B,A,37698,5,43269
600000,20230228091504340,59201,7.870,30000,S,A,37699,5,43270
600000,20230228091504340,59512,7.040,1500,B,A,37700,5,43271
600000,20230228091504340,59604,7.260,3000,S,A,37701,5,43272
600000,20230228091504340,59681,7.200,1000,S,A,37702,5,43273
600000,20230228091504340,59682,7.160,1000,B,A,37703,5,43274
600000,20230228091504340,59898,7.320,5000,S,A,37704,5,43275
600000,20230228091504340,60144,7.130,4600,B,A,37705,5,43276
600000,20230228091504490,60232,7.460,700,S,A,37706,5,43277
600000,20230228091504490,60362,7.140,500,B,A,37707,5,43278
600000,20230228091504490,60386,7.140,2000,B,A,37708,5,43279
600000,20230228091504490,60471,7.240,5000,S,A,37709,5,43280
600000,20230228091504490,60643,7.050,500,B,A,37710,5,43281
600000,20230228091504490,61269,7.380,3000,S,A,37711,5,43282
600000,20230228091504490,61617,7.060,400,B,A,37712,5,43283
600000,20230228091504490,61746,6.830,300,B,A,37713,5,43284
600000,20230228091504490,62083,7.170,1000,B,A,37714,5,43285
600000,20230228091504630,62131,7.120,500,B,A,37715,5,43286
600000,20230228091504630,62134,7.100,1500,B,A,37716,5,43287
600000,20230228091504630,62737,7.880,3000,S,A,37717,5,43288
600000,20230228091504630,62910,7.530,5000,S,A,37718,5,43289
600000,20230228091504630,62934,7.100,132800,B,A,37719,5,43290
600000,20230228091504630,63270,7.200,800,S,A,37720,5,43291
600000,20230228091504630,63271,7.210,900,S,A,37721,5,43292
600000,20230228091504630,63272,7.230,1000,S,A,37722,5,43293
600000,20230228091504630,63273,7.250,1000,S,A,37723,5,43294
600000,20230228091504630,63274,7.270,1000,S,A,37724,5,43295
600000,20230228091504630,63425,7.100,1000,B,A,37725,5,43296
600000,20230228091504800,64104,7.070,1000,B,A,37726,5,43297
600000,20230228091504800,64287,7.130,800,B,A,37727,5,43298
600000,20230228091504800,64802,7.350,1000,S,A,37728,5,43299
600000,20230228091504800,64805,7.150,1000,B,A,37729,5,43300
600000,20230228091504800,65098,7.500,800,S,A,37730,5,43301
600000,20230228091504800,65194,7.550,800,S,A,37731,5,43302
600000,20230228091504800,65319,7.860,72600,S,A,37732,5,43303
600000,20230228091504800,65714,7.130,5000,B,A,37733,5,43304
